,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
17,City Land Travels,1019,3.4,25 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,08h 30m,05:00,ISBT Kashmiri Gate
18,Triptara tour & Travel,1100,2.4,29 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,09h 30m,06:00,Majnu Ka Tilla
19,Bharmani Travels,1619,2.6,11 Seats available,Volvo A/C Semi Sleeper (2+2),20:15,09h 00m,05:15,ISBT Kashmiri Gate
20,Northern Travels,INR 1089,2.6,23 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,11h 00m,07:00,Majnu Ka Tilla
21,City Land Travels,870,2.3,12 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:20,08h 30m,06:50,ISBT Kashmiri Gate
22,City Land Travels,1039,4.0,17 Seats available,Volvo A/C Semi Sleeper (2+2),19:55,09h 15m,05:10,ISBT Kashmiri Gate
23,A N Holidays,949,3.2,19 Seats available,Bharat Benz A/C Semi Sleeper (2+2),19:30,10h 00m,06:00,Majnu Ka Tilla
24,New Himalaya Travels,INR 1040,2.5,27 Seats available,Volvo A/C Semi Sleeper (2+2),21:15,08h 00m,05:15,Majnu Ka Tilla
25,City Land Travels,1838,3.2,32 Seats available,Volvo A/C Semi Sleeper (2+2),22:30,08h 30m,07:00,Majnu Ka Tilla
26,Raghukul Holidays,1079,1.6,23 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,10h 25m,06:25,Majnu ka tilla Potala Ground ...
27,Bharmani Travels,1079,,31 Seats available,Volvo A/C Semi Sleeper (2+2),19:40,10h 30m,06:10,ISBT Kashmiri Gate
28,Ram Dalal Holidays,971,,27 Seats available,Volvo A/C Semi Sleeper (2+2),22:45,09h 20m,08:05,Majnu Ka Tilla
29,Ram Dalal Holidays,1202,,53 Seats available,Bharat Benz (2+2),21:20,09h 40m,07:00,Majnu ka tilla Potala Ground ...
30,HRTC - 1511,INR 938,4.3,9 Seats available,Himmani Deluxe 2+2 Non AC Seater,17:50,12h 45m,06:35,Sec 43
31,HRTC - 1512,INR 766,4.6,37 Seats available,Ordinary 3+2 Non AC Seater,19:00,14h 00m,09:00,CHANDIGARH
32,HRTC - 1509,INR 768,4.4,29 Seats available,Ordinary 3+2 Non AC Seater,18:00,12h 20m,06:20,Sec 43
33,HRTC - 2080051,INR 938,3.8,31 Seats available,Himmani Deluxe 2+2 Non AC Seater,16:50,12h 50m,05:40,Sec 43
34,New Himalaya Travels,INR 870,4.7,11 Seats available,Volvo A/C Semi Sleeper (2+2),19:35,10h 40m,06:15,Palampur
35,Bedi Travels,747,4.6,17 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:05,10h 55m,06:00,By Pass (Near Income Tax Office)
