,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
447,Snemita Parisheba(Santosh),352,3.6,,AC Seater (2+3),11:30,04h 40m,16:10,
448,Snemita Paribahan (SHINJINI),INR 370,3.5,,A/C Seater (2+3),11:15,04h 30m,15:45,
449,Snemita Paribahan(Jackson),INR 420,3.4,,AC Seater (2+2),13:40,04h 50m,18:30,
450,City Express,INR 370,3.6,,AC Seater (2+3),11:35,04h 50m,16:25,
451,Snemita Paribahan (Angel),INR 370,3.9,,AC Seater (2+3),13:50,04h 40m,18:30,
452,Snemita Parisheba,352,3.0,,AC Seater (2+3),10:50,04h 30m,15:20,
453,Samanta Travels,285,3.2,,A/C Seater (2+3),12:40,04h 50m,17:30,
454,City Express (Snemita),INR 370,3.5,,AC Seater (2+3),11:10,04h 20m,15:30,
455,Parameswar Travels,285,2.5,,A/C Seater Push Back (2+2),10:20,04h 50m,15:10,
456,Purusottam Travels,INR 315,2.0,,A/C Seater (2+3),08:10,04h 50m,13:00,
457,Basu Travels,INR 469,2.9,,A/C Seater / Sleeper (2+2),10:55,05h 00m,15:55,
458,Sneha Gold Bus Service,INR 300,3.2,,A/C Seater (2+3),16:30,05h 00m,21:30,
459,Snemita Parisheba (Santosh),352,2.9,,AC Seater (2+3),10:30,04h 40m,15:10,
460,Parameswar Travels,302,2.7,,A/C Seater Push Back (2+3),21:00,06h 00m,03:00,
461,Snemita Pariseba(Samanta),352,2.7,,AC Seater (2+3),09:10,04h 35m,13:45,
462,Monikanchan Bus Service,356,2.5,,A/C Seater (2+3),12:20,04h 20m,16:40,
463,Santosh Bus Service,304,2.8,,A/C Seater Push Back (2+3),10:55,03h 50m,14:45,
464,Snemita Parisheba (Manikanchan),352,1.9,,AC Seater (2+3),12:20,04h 25m,16:45,
465,Monikanchan Bus Service,204,2.6,,Non AC Seater (2+3),11:40,04h 35m,16:15,
466,Parameswar Travels,285,2.1,,A/C Seater Push Back (2+3),18:10,05h 05m,23:15,
467,City Express (Jackson),INR 420,2.9,,AC Seater (2+2),13:40,04h 35m,18:15,
468,Ankita Paribahan(Parameswar),370,2.0,,AC Seater (2+2),10:20,04h 20m,14:40,
469,Ankita Paribahan( Haimanti),370,2.4,,A/C Seater Push Back (2+3),10:10,04h 30m,14:40,
470,Basu Travels,INR 369,2.3,,A/C Seater Push Back (2+3),17:30,05h 00m,22:30,
471,Sree Jagannath Travels,INR 394,2.0,,A/C Seater Push Back (2+3),15:00,05h 00m,20:00,
472,Snemita Paribahan(Maa Chandi),INR 370,2.8,,A/C Push Back (2+3),12:10,04h 35m,16:45,
473,Parameswar Travels,285,1.0,,A/C Seater Push Back (2+3),11:15,04h 45m,16:00,
474,Ankita Paribahan (Tejas),342,1.3,,A/C Executive (2+3),14:20,04h 30m,18:50,
475,Parameswar Travels,302,1.8,,A/C Seater Push Back (2+3),20:00,05h 35m,01:35,
476,Samanta Travels,285,1.8,,A/C Seater (2+3),09:00,04h 40m,13:40,
477,Santosh Bus Service,223,3.9,,A/C Seater (2+3),08:30,04h 20m,12:50,
478,Santosh Bus Service,239,3.8,,A/C Seater Push Back (2+3),10:30,05h 00m,15:30,
479,Snemita Parisheba(Santosh),352,3.9,,AC Seater (2+3),13:30,04h 35m,18:05,
480,Santosh Bus Service,280,3.6,,AC Seater (2+2),12:05,04h 10m,16:15,
481,City Express (Snemita),INR 370,3.7,,AC Seater (2+3),11:45,04h 40m,16:25,
482,Santosh Bus Service,279,3.2,,A/C Seater Push Back (2+3),11:30,04h 25m,15:55,
483,Snemita Pariseba(Santosh),352,3.3,,AC Seater (2+3),08:40,04h 40m,13:20,
484,Santosh Bus Service,207,3.5,,A/C Seater Push Back (2+3),13:30,04h 35m,18:05,
485,Santosh Bus Service,231,3.0,,A/C Seater Push Back (2+3),10:56,04h 19m,15:15,
486,Santosh Bus Service,239,3.1,,A/C Seater Push Back (2+3),09:55,04h 25m,14:20,
487,Snemita Parisheba(Santosh),352,3.6,,AC Seater (2+3),11:30,04h 10m,15:40,
488,Bengal Surface Transport,INR 399,3.4,,A/C Seater Push Back (2+3),10:25,05h 05m,15:30,
489,Bengal Surface Transport,INR 350,3.4,,A/C Seater Push Back (2+3),17:30,05h 00m,22:30,
490,Snemita Paribahan,INR 420,3.8,,A/C Seater / Sleeper (2+2),16:40,04h 35m,21:15,
491,Rudraksha City Service,INR 450,3.4,,A/C Seater (2+3),13:00,04h 20m,17:20,
492,Ankita Paribahan(Atithi),389,3.3,,A/C Seater (2+3),10:45,05h 00m,15:45,
493,Aradhana Travels,475,4.3,,A/C Seater / Sleeper (2+1),19:30,04h 00m,23:30,
494,Snemita Pariseba(Santosh),352,3.8,,AC Seater (2+3),10:00,04h 30m,14:30,
495,Ankita Paribahan(Atithi),389,2.9,,A/C Seater Push Back (2+3),13:35,04h 15m,17:50,
496,Snemita Parisheba (Santosh),352,3.1,,AC Seater (2+3),10:55,04h 35m,15:30,
497,Snemita Paribahan(Snemita),INR 370,2.6,,AC Seater (2+3),11:45,04h 40m,16:25,
498,City Express (Shinjini),INR 370,2.8,,AC Seater (2+3),15:20,04h 35m,19:55,
499,Satya Paribahan,399,2.9,,A/C Seater (2+3),23:00,04h 45m,03:45,
500,Snemita Paribahan(SHINJINI),INR 370,2.6,,A/C Seater (2+3),16:00,04h 30m,20:30,
501,Parameswar Travels,285,1.8,,A/C Seater Push Back (2+3),11:45,04h 35m,16:20,
502,Snemita Paribahan,INR 370,3.4,,A/C Seater (2+3),12:30,04h 00m,16:30,
503,Ankita Paribahan(Parameswar),389,3.1,,A/C Seater (2+3),11:30,04h 35m,16:05,
504,Snemita Paribahan (Shinjini),INR 420,2.6,,AC Seater (2+3),23:35,04h 10m,03:45,
505,Satya Paribahan,352,2.2,,A/C Seater (2+3),23:30,04h 10m,03:40,
506,Snemita Parisheba,352,2.6,,AC Seater (2+3),17:00,04h 30m,21:30,
507,Arunita Paribahan,INR 420,2.5,,A/C Seater (2+3),23:35,04h 10m,03:45,
508,Santosh Bus Service,295,2.4,,A/C Seater Push Back (2+3),17:05,04h 25m,21:30,
509,Snemita Paribahan (Chowdhury),INR 420,2.2,,AC Seater (2+2),12:50,04h 40m,17:30,
510,Snemita Paribahan(Shinjini),INR 370,2.2,,A/C Seater (2+3),15:20,04h 40m,20:00,
511,City Express (Maa Chandi),INR 320,3.2,,A/C Executive (2+3),07:30,04h 35m,12:05,
512,Ankita Paribahan (Anuska),389,2.4,,A/C Push Back (2+3),14:25,04h 30m,18:55,
513,City Express (ANGEL),INR 420,3.2,,AC Seater (2+2),10:15,04h 30m,14:45,
514,Snemita Paribahan,INR 370,2.6,,A/C Seater (2+3),23:30,04h 30m,04:00,
515,Aradhana Bus Service,570,2.0,,A/C Seater / Sleeper (2+2),23:00,05h 00m,04:00,
516,Snemita Parisheba,352,2.6,,AC Seater (2+3),18:00,04h 30m,22:30,
517,Basu Travels,INR 345,2.4,,A/C Seater Push Back (2+3),07:35,04h 50m,12:25,
518,Aradhana Travels,475,1.6,,A/C Seater / Sleeper (2+2),18:35,04h 25m,23:00,
519,City Express (Maa Chandi),INR 370,3.2,,A/C Executive (2+3),12:10,04h 35m,16:45,
520,Snemita Paribahan (CHOWDHURY),INR 420,1.9,,AC Seater (2+2),14:10,04h 30m,18:40,
521,Snemita Parisheba(Santosh),352,2.2,,A/C Seater Push Back (2+3),23:00,05h 20m,04:20,
522,Snemita Parisheba,352,2.0,,A/C Seater Push Back (2+3),11:45,04h 30m,16:15,
523,City Express (Shinjini),INR 370,1.8,,AC Seater (2+3),16:00,04h 30m,20:30,
524,Ankita Paribahan,342,2.3,,AC Seater (2+3),06:55,04h 35m,11:30,
525,Snemita Paribahan,INR 370,2.5,,AC Seater (2+3),11:21,04h 39m,16:00,
526,Vishwakarma Travels,INR 380,2.5,,AC Seater (2+3),14:30,04h 50m,19:20,
527,Ankita Paribahan,370,2.0,,A/C Seater (2+3),11:40,04h 50m,16:30,
528,Aniruddha Travels,INR 250,1.0,,NON A/C Seater Push Back (2+3) (2+3),16:25,04h 50m,21:15,
529,Snemita Paribahan (Sagar Kanya),INR 370,3.0,,AC Seater (2+3),10:20,04h 35m,14:55,
530,Ankita Paribahan (Maity),370,3.0,,A/C Seater Push Back (2+3),09:40,04h 40m,14:20,
531,Ankita Paribahan(Janhabi),296,3.0,,A/C Seater Push Back (2+3),08:50,04h 35m,13:25,
532,Ankita Paribahan (Lokenath),342,3.0,,AC Seater (2+3),16:20,04h 40m,21:00,
533,Ankita Paribahan (Kojagor),342,3.0,,A/C Push Back (2+3),07:00,04h 45m,11:45,
534,Ankita Paribahan(Parameswar),296,3.0,,A/C Seater (2+3),09:30,04h 25m,13:55,
535,Ankita Paribahan(NARAYANI),389,3.0,,A/C Push Back (2+3),12:35,04h 25m,17:00,
536,Snemita Paribahan (Sagar Kanya),INR 370,3.0,,AC Seater (2+3),10:40,04h 30m,15:10,
537,Ankita Paribahan (Lokenath),352,3.0,,A/C Seater Push Back (2+3),06:50,04h 40m,11:30,
538,Ankita Paribahan,389,3.0,,A/C Seater Push Back (2+3),11:10,04h 30m,15:40,
539,The Joy Ride,INR 650,2.9,,A/C Seater / Sleeper (2+2),21:15,05h 15m,02:30,
540,Basu Travels,INR 369,2.5,,A/C Seater Push Back (2+3),06:50,05h 00m,11:50,
541,Arunita Paribahan,INR 470,2.5,,AC Seater (2+2),11:05,04h 40m,15:45,
542,Basu Travels,INR 345,2.5,,A/C Seater Push Back (2+3),10:10,05h 05m,15:15,
543,Aradhana Travels,475,2.4,,Non AC Seater (2+3),21:45,05h 40m,03:25,
544,Sagufta Travels(Atithi),299,2.2,,A/C Seater Push Back (2+3),12:15,05h 05m,17:20,
545,Sree Jagannath Travels,INR 399,2.0,,A/C Seater Push Back (2+3),14:10,04h 50m,19:00,
546,Suvam Travels,INR 300,1.8,,A/C Seater Push Back (2+3),09:30,05h 00m,14:30,
547,Kojagar Travels,INR 300,1.9,,A/C Seater (2+3),09:00,05h 00m,14:00,
548,Santosh Bus Service,303,3.5,,A/C Seater Push Back (2+3),11:55,04h 40m,16:35,
549,Bengal Surface Transport,INR 345,3.4,,A/C Seater Push Back (2+3),07:20,05h 04m,12:24,
550,Bengal Surface Transport,INR 399,3.4,,A/C Seater Push Back (2+3),10:50,04h 50m,15:40,
551,Samanta Travels,189,3.4,,NON A/C Seater (2+3),16:00,05h 00m,21:00,
552,Bengal Surface Transport,INR 385,3.4,,A/C Seater Push Back (2+3),06:50,04h 40m,11:30,
553,City Express (Bhorpet),INR 420,3.2,,AC Seater (2+2),09:20,04h 30m,13:50,
554,City Express (Bhorpet),INR 370,3.2,,A/C Seater (2+3),07:20,04h 30m,11:50,
555,City Express (Ruposhi),INR 370,3.2,,AC Seater (2+3),07:45,04h 30m,12:15,
