,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
289,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Semi Sleeper (2+2),20:00,07h 00m,03:00,
290,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Sleeper (2+1),22:00,07h 00m,05:00,
291,Indo Canadian Transport Pvt. Ltd.,INR 3000,4.0,,A/C Sleeper (2+1),16:00,07h 00m,23:00,
292,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Semi Sleeper (2+2),14:48,06h 20m,21:08,
293,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Semi Sleeper (2+2),18:48,06h 20m,01:08,
294,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Semi Sleeper (2+2),14:30,06h 30m,21:00,
295,Indo Canadian Transport Pvt. Ltd.,INR 3000,4.0,,A/C Sleeper (2+1),16:30,06h 30m,23:00,
296,Orbit Aviation Pvt. Ltd.,INR 200,3.0,,A/C Seater (2+2),14:50,01h 55m,16:45,
297,Orbit Aviation Pvt. Ltd.,INR 200,2.5,,A/C Seater (2+2),13:55,01h 45m,15:40,
298,Orbit Aviation Pvt. Ltd.,INR 200,2.4,,A/C Seater (2+2),15:25,01h 30m,16:55,
299,Orbit Aviation Pvt. Ltd.,INR 200,2.7,,A/C Seater (2+2),16:55,01h 35m,18:30,
300,Orbit Aviation Pvt. Ltd.,INR 850,3.7,,A/C Seater (2+2),14:05,01h 20m,15:25,
301,NEW FATEH BUS SERVICE,510,3.2,,Volvo A/C Semi Sleeper (2+2),16:25,01h 35m,18:00,
302,PEPSU (Punjab) - 67081,INR 954,3.1,38 Seats available,Volvo AC Seater (2+2),19:55,07h 10m,03:05,"ISBT , DELHI"
303,Laxmi holidays,570,4.5,24 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:20,07h 00m,05:20,ISBT Kashmiri Gate
304,Laxmi holidays,527,4.1,32 Seats available,VE A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,ISBT Kashmiri Gate
305,IntrCity SmartBus,INR 408,4.8,34 Seats available,A/C Seater / Sleeper (2+1),21:15,08h 35m,05:50,Red Fort (Lal Quila)
306,Laxmi holidays,599,4.2,30 Seats available,Bharat Benz A/C Sleeper (2+1),23:40,07h 35m,07:15,ISBT Kashmiri Gate
307,Laxmi holidays,665,4.7,28 Seats available,Bharat Benz A/C Sleeper (2+1),23:30,07h 30m,07:00,ISBT Kashmiri Gate
308,New Navyug Travels,608,4.3,18 Seats available,A/C Sleeper (2+1),22:45,06h 30m,05:15,Karnal bypass
309,Zingbus Plus,696,4.7,20 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),19:45,06h 40m,02:25,Majnu Ka Tilla
310,Yolo Bus,INR 569,4.5,28 Seats available,VE A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,Red Fort
311,Zingbus Plus,410,4.6,18 Seats available,Scania A/C Semi Sleeper (2+2),22:50,06h 45m,05:35,Majnu Ka Tilla
312,IntrCity SmartBus,INR 367,4.5,33 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:30,08h 10m,05:40,ISBT Kashmiri Gate
313,IntrCity SmartBus,INR 367,4.9,31 Seats available,A/C Seater / Sleeper (2+1),23:05,08h 15m,07:20,ISBT Kashmiri Gate
314,Golden Temple Express Volvo,599,4.3,17 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:50,07h 05m,05:55,Red Fort
315,Yolo Bus,INR 400,4.3,18 Seats available,VE A/C Seater / Sleeper (2+1),22:00,07h 04m,05:04,Red Fort
316,IntrCity SmartBus,INR 432,4.4,26 Seats available,A/C Seater / Sleeper (2+1),20:30,08h 40m,05:10,Red Fort (Lal Quila)
317,Laxmi holidays,1900,4.7,21 Seats available,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07h 10m,01:40,ISBT Kashmiri Gate
318,IntrCity SmartBus,INR 387,4.4,28 Seats available,A/C Seater / Sleeper (2+1),21:45,08h 30m,06:15,Red Fort (Lal Quila)
319,Ram Dalal Holidays,621,4.8,6 Seats available,A/C Seater/Sleeper (2+1),18:30,07h 10m,01:40,ISBT Kashmiri Gate
320,IntrCity SmartBus,INR 549,3.4,18 Seats available,AC Sleeper (2+1),22:30,08h 15m,06:45,ISBT Kashmiri Gate
321,IntrCity SmartBus,567,4.6,22 Seats available,AC Sleeper (2+1),23:00,08h 10m,07:10,Red Fort (Lal Quila)
322,IntrCity SmartBus,INR 450,4.2,27 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:15,08h 30m,06:45,Red Fort (Lal Quila)
323,Golden Temple Express Volvo,549,3.1,10 Seats available,A/C Seater / Sleeper (2+2),22:55,06h 55m,05:50,Red Fort
324,ADTC tour and Travels,INR 600,3.6,52 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:25,06h 15m,04:40,Red Fort
325,NueGo,523,3.3,20 Seats available,Electric A/C Seater/Sleeper (2+1),22:00,07h 30m,05:30,"NueGo Lounge, Kashmiri Gate"
326,Golden Temple Express Volvo,499,3.7,2 Seats available,A/C Seater / Sleeper (2+2),22:58,06h 42m,05:40,Red Fort
327,NueGo,523,1.7,29 Seats available,Electric A/C Seater/Sleeper (2+1),23:30,08h 10m,07:40,"NueGo Lounge, Kashmiri Gate"
328,Muskan Tour And Travels private Limited,739,2.9,32 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:40,05h 50m,04:30,Redfort
329,Classic Travels,INR 790,2.7,16 Seats available,A/C Seater / Sleeper (2+2),21:00,07h 30m,04:30,ISBT Kashmiri Gate
330,Banjara Satguru Travels,550,2.0,31 Seats available,A/C Seater / Sleeper (2+2),22:50,06h 30m,05:20,Shop no.10 /a near nagpal da...
331,Zingbus Plus,584,4.7,23 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:55,07h 40m,01:35,Majnu Ka Tilla
332,Zingbus Plus,766,4.7,27 Seats available,A/C Sleeper (2+1),21:45,07h 45m,05:30,Majnu Ka Tilla
333,IntrCity SmartBus,393,4.5,24 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),20:00,09h 10m,05:10,Red Fort (Lal Quila)
334,IntrCity SmartBus,INR 511,4.5,18 Seats available,A/C Seater / Sleeper (2+1),22:00,08h 50m,06:50,IFFCO Chowk -Boarding Zone
335,IntrCity SmartBus,INR 752,4.5,30 Seats available,A/C Seater / Sleeper (2+1),21:15,09h 30m,06:45,IFFCO Chowk -Boarding Zone
336,IntrCity SmartBus,INR 418,4.5,31 Seats available,A/C Seater / Sleeper (2+1),20:30,08h 30m,05:00,IFFCO Chowk -Boarding Zone
337,R S YADAV SMART BUS PRIVATE LIMITED,INR 999,4.4,33 Seats available,VE A/C Sleeper (2+1),22:30,06h 51m,05:21,ISBT Kashmiri Gate
338,Yolo Bus,INR 660,4.4,21 Seats available,A/C Seater/Sleeper (2+1),19:15,07h 25m,02:40,RK Ashram
339,India Tours & Travels (GetBookCab),INR 639,3.8,15 Seats available,A/C Semi Sleeper / Sleeper (2+2),21:45,07h 55m,05:40,Munirka
340,Shri Bawa Lal Tour and Travels,INR 400,3.6,31 Seats available,A/C Seater / Sleeper (2+1),22:30,06h 30m,05:00,Red fort metro gate no 2 delhi
341,Goel Tourist (Regd),INR 550,3.5,42 Seats available,A/C Seater / Sleeper (2+2),20:50,06h 25m,03:15,Redfort
342,Lavish Travels,450,3.5,33 Seats available,A/C Seater / Sleeper (2+2),18:50,08h 25m,03:15,Redfort
343,Banjara Satguru Travels,550,1.4,33 Seats available,A/C Seater / Sleeper (2+2),23:25,06h 00m,05:25,Shop no.10 /a near nagpal da...
344,IntrCity SmartBus,INR 816,4.5,24 Seats available,VE A/C Seater / Sleeper (2+1),23:40,07h 40m,07:20,RK Ashram
345,RK Holiday,1139,2.9,32 Seats available,A/C Seater / Sleeper (2+2),22:20,06h 30m,04:50,Jama Masjid Metro Station Gat...
346,CALL2TRIP,594,2.9,44 Seats available,A/C Seater / Sleeper (2+2),22:40,06h 30m,05:10,Red Fort
347,CALL2TRIP,594,2.9,44 Seats available,A/C Seater / Sleeper (2+2),22:25,06h 35m,05:00,Red Fort
348,Northern Travels,INR 999,2.7,20 Seats available,Bharat Benz A/C Sleeper (2+1),16:15,07h 44m,23:59,Munirka
349,India Tours & Travels (GetBookCab),INR 499,3.8,36 Seats available,A/C Seater / Sleeper (2+2),21:30,08h 00m,05:30,RED FORT JAMNA BAZAR (Pickup ...
350,Golden Temple Volvo Bus Service,INR 686,2.1,38 Seats available,A/C Seater / Sleeper (2+1),23:20,07h 35m,06:55,Gate no 2 redfort metro station
351,Banjara Satguru Travels,719,1.7,13 Seats available,A/C Seater / Sleeper (2+1),22:40,07h 06m,05:46,ISBT Kashmiri Gate
352,City Land Travels,1450,3.6,24 Seats available,Volvo A/C Semi Sleeper (2+2),18:00,06h 35m,00:35,Red Fort
353,ADTC tour and Travels,INR 500,3.6,40 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:40,06h 05m,04:45,Red Fort
354,ADTC tour and Travels,INR 600,3.6,38 Seats available,Bharat Benz A/C Seater / Sleeper (2+2),22:30,06h 15m,04:45,Gate no 2 redfort metro station
355,Banjara Satguru Travels,719,1.7,29 Seats available,A/C Seater / Sleeper (2+2),22:40,07h 06m,05:46,Red Fort Metro Station
356,Maheshwaram Travels,INR 666,1.7,,A/C Seater / Sleeper (2+2),19:40,09h 20m,05:00,
357,PEPSU (Punjab) - 66995,INR 304,3.8,,Non AC Seater (2+3),14:50,04h 00m,18:50,
358,Jujhar Travels,INR 600,4.4,,Volvo A/C Semi Sleeper (2+2),16:20,04h 25m,20:45,
359,Laxmi holidays,570,4.5,27 Seats available,VE A/C Sleeper (2+1),23:55,07h 05m,07:00,Ludhiana Samrala Chowk Chandi...
360,Yolo Bus,INR 519,4.4,31 Seats available,VE A/C Seater / Sleeper (2+1),22:27,06h 33m,05:00,Sherpur Chowk
361,NueGo,524,3.8,20 Seats available,Electric A/C Seater (2+2),23:15,05h 50m,05:05,"Railway Station, Ludhiana"
362,AdArmaan Tour & Travels,524,3.5,32 Seats available,A/C Seater / Sleeper (2+1),22:50,07h 10m,06:00,Dhyan Singh Complex
363,NueGo,428,3.4,19 Seats available,Electric A/C Seater (2+2),18:00,05h 50m,23:50,Sherpur Chowk - Boarding Zone
364,IntrCity SmartBus,INR 570,4.1,25 Seats available,A/C Seater / Sleeper (2+1),22:45,07h 35m,06:20,Sherpur Chownk(Ludhiana)
365,Golden Temple Express Volvo,499,4.1,30 Seats available,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,Sherpur Chownk(Ludhiana)
366,New Navyug Travels,608,3.8,23 Seats available,A/C Sleeper (2+1),23:00,06h 30m,05:30,Sherpur Chowk - Boarding Zone
367,IntrCity SmartBus,INR 463,4.1,30 Seats available,A/C Seater / Sleeper (2+1),23:40,06h 20m,06:00,Sherpur Chownk(Ludhiana)
368,NueGo,428,2.7,28 Seats available,Electric A/C Seater (2+2),13:15,05h 35m,18:50,Sherpur Chowk - Boarding Zone
369,Golden Temple Express Volvo,599,3.3,32 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 22m,06:20,Ludhiana
370,IntrCity SmartBus,INR 627,3.7,32 Seats available,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,Jagrawa Pul
371,ADTC tour and Travels,INR 600,3.7,8 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05h 30m,05:10,Sherpur Chownk(Ludhiana)
372,Golden Temple Express Volvo,499,3.7,35 Seats available,A/C Seater / Sleeper (2+2),23:57,06h 53m,06:50,Ludhiana
373,India Tours & Travels (GetBookCab),INR 499,3.2,22 Seats available,A/C Semi Sleeper / Sleeper (2+2),00:55,05h 35m,06:30,Ludhiana
374,Vijay Tour and Travels,INR 800,2.2,38 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:50,06h 00m,23:50,Sherpur Chownk(Ludhiana)
375,NueGo,428,3.2,38 Seats available,Electric A/C Seater (2+2),00:05,05h 50m,05:55,Ludhiana
376,Golden Temple Express Volvo,649,4.0,34 Seats available,A/C Seater / Sleeper (2+2),23:30,05h 50m,05:20,Jagrawa Pul
377,Classic Travels,INR 389,2.6,36 Seats available,A/C Seater / Sleeper (2+2),23:55,07h 00m,06:55,Sherpur chowk ludhiana pb
378,Classic Travels,INR 389,2.5,20 Seats available,A/C Seater / Sleeper (2+2),23:30,07h 00m,06:30,
379,Golden Temple Express Volvo,549,2.4,31 Seats available,A/C Seater / Sleeper (2+2),23:59,06h 31m,06:30,
380,Prince Travels,INR 1099,3.2,26 Seats available,A/C Seater / Sleeper (2+2),00:50,05h 10m,06:00,
381,ADTC tour and Travels,INR 550,2.7,39 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05h 20m,05:15,
382,Khurana Bus Service,INR 700,3.2,,Bharat Benz A/C Semi Sleeper (2+2),15:25,06h 05m,21:30,
383,NAYAR TRAVELS (OPC) PVT LTD,INR 1899,2.3,,A/C Sleeper (2+1),14:30,08h 00m,22:30,
384,Golden Temple Express Volvo,549,3.7,,A/C Seater / Sleeper (2+2),23:57,06h 53m,06:50,
385,Travel Point,949,3.6,,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,
386,India Tours & Travels (GetBookCab),INR 499,3.2,,A/C Seater / Sleeper (2+2),00:40,05h 20m,06:00,
387,Zingbus Plus,1123,4.3,25 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:20,09h 25m,02:45,T3 IGI Airport Arrival Gate
388,Zingbus Plus,878,4.3,19 Seats available,Scania A/C Semi Sleeper (2+2),19:50,09h 55m,05:45,T3 IGI Airport Arrival Gate
389,Indo Canadian Transport Pvt. Ltd.,INR 2500,3.7,44 Seats available,A/C Semi Sleeper (2+2),23:30,11h 45m,11:15,"Igi terminal3 arrival,gate no..."
390,Indo Canadian Transport Pvt. Ltd.,INR 3000,3.7,51 Seats available,A/C Semi Sleeper (2+2),17:00,11h 45m,04:45,"Igi terminal3 arrival,gate no..."
391,Indo Canadian Transport Pvt. Ltd.,INR 3300,3.7,49 Seats available,A/C Semi Sleeper (2+2),13:15,11h 45m,01:00,"Igi terminal3 arrival,gate no..."
392,Indo Canadian Transport Pvt. Ltd.,INR 2500,3.7,51 Seats available,A/C Semi Sleeper (2+2),19:30,11h 45m,07:15,"Igi terminal3 arrival,gate no..."
393,Indo Canadian Transport Pvt. Ltd.,INR 3850,3.7,40 Seats available,A/C Sleeper (2+1),22:00,11h 45m,09:45,"Igi terminal3 arrival,gate no..."
394,Indo Canadian Transport Pvt. Ltd.,INR 3000,3.7,30 Seats available,A/C Semi Sleeper (2+2),16:00,11h 45m,03:45,"Igi terminal3 arrival,gate no..."
395,Indo Canadian Transport Pvt. Ltd.,INR 3300,3.7,51 Seats available,A/C Semi Sleeper (2+2),23:30,11h 45m,11:15,"Igi terminal3 arrival,gate no..."
396,Indo Canadian Transport Pvt. Ltd.,INR 2500,3.7,51 Seats available,A/C Semi Sleeper (2+2),15:30,11h 45m,03:15,"Igi terminal3 arrival,gate no..."
