,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
429,Sai Travels - Shree Sai,INR 5000,3.7,29 Seats available,NON A/C Push Back (2+2),17:30,08h 00m,01:30,Madgaon
430,IntrCity SmartBus,INR 799,4.3,27 Seats available,AC Sleeper (2+1),17:30,06h 00m,23:30,Mapusa
431,Jolly Tours and Travels,1449,3.6,23 Seats available,VE A/C Sleeper (2+1),17:30,07h 15m,00:45,Porvorim
432,IntrCity SmartBus,INR 1124,3.9,27 Seats available,AC Sleeper (2+1),17:30,06h 55m,00:25,Mapusa
433,Prasanna - Purple Bus,720,3.9,29 Seats available,Volvo A/C Sleeper (2+1),18:00,07h 00m,01:00,Mapusa
434,Giroba Travels,INR 2000,3.3,20 Seats available,A/C Seater (2+2),18:00,07h 45m,01:45,Mapusa
435,Zingbus Plus,693,4.3,25 Seats available,Bharat Benz A/C Sleeper (2+1),18:10,06h 00m,00:10,Mapusa
436,IntrCity SmartBus,INR 799,4.7,26 Seats available,AC Sleeper (2+1),18:30,06h 15m,00:45,Porvorim
437,Giroba Travels,INR 2000,3.3,26 Seats available,A/C Seater (2+2),18:30,07h 15m,01:45,Mapusa
438,Jolly Tours and Travels,INR 1499,3.6,24 Seats available,A/C Sleeper (2+1),18:30,07h 15m,01:45,Mapusa
439,Amrutyog Travels,INR 599,4.9,47 Seats available,A/C Sleeper (2+1),19:00,07h 30m,02:30,Mapusa
440,Atmaram Travels (Pawan),INR 666,4.1,22 Seats available,A/C Sleeper (2+1),19:00,06h 45m,01:45,Mapusa
441,PSR Travels Goa,INR 999,3.6,21 Seats available,A/C Sleeper (2+1),19:15,05h 45m,01:00,Mapusa
442,Atmaram Travels (Humsafar),INR 750,4.1,15 Seats available,Bharat Benz A/C Sleeper (2+1),19:30,06h 00m,01:30,Panjim
443,Laxmi Queen Prime,INR 699,3.7,22 Seats available,A/C Sleeper (2+1),19:30,06h 00m,01:30,Mapusa
444,IntrCity SmartBus,INR 550,5.0,30 Seats available,AC Sleeper (2+1),19:30,05h 40m,01:10,Mapusa
445,Zingbus Plus,791,4.9,31 Seats available,VE A/C Sleeper (2+1),19:40,06h 00m,01:40,Mapusa
446,PSR Travels Goa,INR 899,3.9,16 Seats available,A/C Sleeper (2+1),19:45,06h 15m,02:00,Porvorim
447,Atmaram Gobus,INR 2000,4.1,20 Seats available,NON A/C Sleeper (2+1),19:45,07h 15m,03:00,Mapusa
448,Laxmi Empress Stellar,INR 649,3.9,21 Seats available,NON A/C Sleeper (2+1),19:45,06h 00m,01:45,Mapusa
449,Ashray Travels,INR 350,4.0,27 Seats available,Non A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,Mapusa
