,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
531,GODARA TRAVELS,INR 1599,2.9,25 Seats available,AC Sleeper (2+1),23:25,04h 20m,03:45,"G.S.plaza Nagla Rambakhh,kube..."
532,Gorakhdham Express Bus Service,INR 965,2.8,34 Seats available,A/C Seater / Sleeper (2+2),18:00,05h 55m,23:55,"G.S.plaza Nagla Rambakhh,kube..."
533,Star City Bus,INR 1599,2.8,33 Seats available,A/C Seater / Sleeper (2+2),20:25,03h 15m,23:40,Agra Bypass Rd
534,LATSAHIB BHAWANI TOUR AND TRAVELS,1295,2.8,52 Seats available,Bharat Benz A/C Sleeper (2+1),22:45,06h 30m,05:15,Shilpa shrinath travels
535,LATSAHIB BHAWANI TOUR AND TRAVELS,739,2.8,36 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),20:30,06h 00m,02:30,Agra Kuberpur By pass
536,Panwar Travels,INR 2500,2.2,45 Seats available,A/C Seater / Sleeper (2+1),21:00,05h 10m,02:10,
537,Jain Shiv Shankar Travels,1329,2.0,,A/C Sleeper (2+1),19:35,05h 00m,00:35,
538,Panwar Travels,INR 2500,1.9,,A/C Sleeper (2+1),21:45,03h 35m,01:20,
539,Jain Shiv Shankar Travels,1329,1.7,,A/C Sleeper (2+1),23:30,05h 00m,04:30,
540,janta shatabdi travels,618,1.5,,A/C Seater / Sleeper (2+1),21:30,05h 00m,02:30,
541,RYS Travels,1202,1.5,,Bharat Benz A/C Seater / Sleeper (2+2),19:00,04h 30m,23:30,
542,Shakmbhari Travels,INR 794,1.6,,Bharat Benz A/C Seater /Sleeper (2+1),21:45,05h 15m,03:00,
543,Maan Travels,INR 1050,1.2,,NON AC Seater / Sleeper 2+1,17:30,06h 25m,23:55,
