,Starting_names,Reaching_names,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point,Ratings_range,Bus_fare_range,Bus_category,AC_Type,Seat_Type,Starting_time_interval,Ending_time_interval,Route
2951,Hyderabad,Vijayawada,KTR Travels,599.0,3.4,32 Seats available,Non A/C Seater / Sleeper (2+1),15:50,06h 55m,22:45,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,22:00 - 23:00,Hyderabad to Vijayawada
2952,Hyderabad,Vijayawada,SAMANVI CITICONNECT,709.0,3.4,23 Seats available,A/C Sleeper (2+1),22:25,05h 55m,04:20,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2953,Hyderabad,Vijayawada,SVR Tours and Travels,800.0,3.4,19 Seats available,Volvo Multi Axle Sleeper B11R (2+1),17:15,06h 35m,23:50,Kukatpally,3 to 4,below 1000,Other,A/C,Sleeper,17:00 - 18:00,23:00 - 00:00,Hyderabad to Vijayawada
2954,Hyderabad,Vijayawada,DMR Travels,449.0,3.0,23 Seats available,Non A/C Seater / Sleeper (2+1),22:35,05h 25m,04:00,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2955,Hyderabad,Vijayawada,DMR Travels,500.0,4.3,19 Seats available,Non A/C Seater / Sleeper (2+1),22:40,05h 50m,04:30,Kukatpally,4 to 5,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2956,Hyderabad,Vijayawada,DMR Travels,650.0,3.3,21 Seats available,A/C Sleeper (2+1),21:10,06h 20m,03:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,03:00 - 04:00,Hyderabad to Vijayawada
2957,Hyderabad,Vijayawada,DMR Travels,560.0,3.3,34 Seats available,Non A/C Seater / Sleeper (2+1),22:28,06h 02m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2958,Hyderabad,Vijayawada,V Kaveri Travels,800.0,2.7,17 Seats available,A/C Sleeper (2+1),22:30,06h 00m,04:30,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2959,Hyderabad,Vijayawada,V Kaveri Travels,560.0,3.6,34 Seats available,A/C Seater / Sleeper (2+1),22:20,06h 10m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2960,Hyderabad,Vijayawada,AMIGOS TRAVELS,617.0,4.1,24 Seats available,A/C Sleeper (2+1),22:29,06h 16m,04:40,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2961,Hyderabad,Vijayawada,V Kaveri Travels,780.0,2.1,17 Seats available,Non A/C Seater / Sleeper (2+1),15:50,05h 10m,21:00,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,21:00 - 22:00,Hyderabad to Vijayawada
2962,Hyderabad,Vijayawada,V Kaveri Travels,500.0,3.0,29 Seats available,Non A/C Seater / Sleeper (2+1),22:20,06h 45m,05:05,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,05:00 - 06:00,Hyderabad to Vijayawada
2963,Hyderabad,Vijayawada,VARAHI TRAVELS,520.0,3.2,15 Seats available,A/C Seater / Sleeper (2+1),18:55,07h 05m,02:00,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,18:00 - 19:00,02:00 - 03:00,Hyderabad to Vijayawada
2964,Hyderabad,Vijayawada,Sai Sri Durga Travels,3000.0,3.2,19 Seats available,Non A/C Seater / Sleeper (2+1),23:10,06h 20m,05:30,Kukatpally,3 to 4,3000 Above,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Hyderabad to Vijayawada
2965,Hyderabad,Vijayawada,Vinay's Tours and Travels,474.0,3.2,9 Seats available,A/C Sleeper (2+1),23:50,05h 50m,05:55,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Hyderabad to Vijayawada
2966,Hyderabad,Vijayawada,Sri Tulasi Tours and Travels,899.0,3.4,35 Seats available,A/C Seater / Sleeper (2+1),15:50,05h 40m,21:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,21:00 - 22:00,Hyderabad to Vijayawada
2967,Hyderabad,Vijayawada,Sri Tulasi Tours and Travels,749.0,3.2,27 Seats available,A/C Seater / Sleeper (2+1),15:50,07h 10m,23:00,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,23:00 - 00:00,Hyderabad to Vijayawada
2968,Hyderabad,Vijayawada,Morning Star Travels,790.0,3.2,25 Seats available,A/C Sleeper (2+1),23:05,05h 10m,05:00,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Hyderabad to Vijayawada
2969,Hyderabad,Vijayawada,Chandu Travels,510.0,3.2,27 Seats available,A/C Seater / Sleeper (2+1),23:05,05h 25m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Hyderabad to Vijayawada
2970,Hyderabad,Vijayawada,Yolo Bus,819.0,2.4,30 Seats available,Bharat Benz A/C Sleeper (2+1),19:40,07h 14m,02:29,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,19:00 - 20:00,02:00 - 03:00,Hyderabad to Vijayawada
2971,Hyderabad,Vijayawada,AVR Travels,2500.0,3.1,26 Seats available,A/C Seater / Sleeper (2+1),23:55,05h 35m,05:35,Kukatpally,3 to 4,1000 to 3000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Hyderabad to Vijayawada
2972,Hyderabad,Vijayawada,Tranzindia Travels,999.0,2.5,13 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),21:40,06h 20m,03:50,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,03:00 - 04:00,Hyderabad to Vijayawada
2973,Hyderabad,Vijayawada,Srivastav Travels,629.0,2.1,18 Seats available,Bharat Benz A/C Sleeper (2+1),22:15,05h 45m,04:00,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2974,Hyderabad,Vijayawada,Ajay Bus,440.0,2.1,16 Seats available,Non A/C Seater / Sleeper (2+1),22:45,05h 55m,04:40,Kukatpally,Below 3,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2975,Hyderabad,Vijayawada,Sai Godavari Travels,500.0,1.9,33 Seats available,Non A/C Seater / Sleeper (2+1),22:18,05h 42m,04:00,Kukatpally,Below 3,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2976,Hyderabad,Vijayawada,LVP Travels,510.0,2.2,29 Seats available,Non A/C Seater / Sleeper (2+1),22:20,06h 10m,04:30,Kukatpally,Below 3,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2977,Hyderabad,Vijayawada,Ajay Bus,499.0,3.1,25 Seats available,Non A/C Seater / Sleeper (2+1),22:45,05h 15m,04:00,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2978,Hyderabad,Vijayawada,Ajay Bus,440.0,3.1,28 Seats available,Non A/C Seater / Sleeper (2+1),22:45,05h 45m,04:30,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2979,Hyderabad,Vijayawada,Sri Keerthana Sai Travels,618.0,3.1,14 Seats available,Non A/C Seater / Sleeper (2+1),15:50,07h 55m,23:45,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,23:00 - 00:00,Hyderabad to Vijayawada
2980,Hyderabad,Vijayawada,Prasanna Travels,500.0,3.1,20 Seats available,A/C Seater / Sleeper (2+1),23:55,06h 15m,06:15,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,06:00 - 07:00,Hyderabad to Vijayawada
