,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
201,SERA TRAVELS,INR 599,4.2,,A/C Seater (2+2),22:30,04h 35m,03:05,
202,Galaxy Tours,INR 650,2.9,,2+1 Air Suspension A/C Seater / Sleeper,21:45,04h 15m,02:00,
203,Ubc travels,INR 700,2.8,,A/C Semi Sleeper (2+2),00:25,04h 15m,04:40,
204,Madhavi Travels,INR 699,4.0,,A/C Semi Sleeper (2+2),23:30,03h 05m,02:35,
205,Madhavi Travels,INR 899,4.0,,Volvo A/C Semi Sleeper (2+2),23:30,03h 05m,02:35,
206,Holy Maria Travels,INR 700,2.9,,A/C Semi Sleeper (2+2),00:10,04h 00m,04:10,
207,Galaxy Tours,INR 800,2.9,,A/C Semi Sleeper (2+2),21:45,04h 16m,02:01,
208,A1 Travels,INR 700,1.9,41 Seats available,A/C Seater / Sleeper (2+1),23:59,07h 01m,07:00,Kottayam
209,Ubc travels,INR 900,3.9,22 Seats available,A/C Seater/Sleeper (2+1),18:00,09h 00m,03:00,Nagampadam Bus Stand
210,Ubc travels,INR 700,3.9,22 Seats available,A/C Semi Sleeper (2+2),17:30,07h 30m,01:00,Nagampadam Bus Stand
211,Sonia Travels,INR 750,3.7,25 Seats available,A/C Seater/Sleeper (2+1),18:10,08h 04m,02:14,Nagampadam
212,EMERALD TRAVELS,INR 800,2.1,25 Seats available,Bharat Benz A/C Semi Sleeper (2+2),23:00,05h 30m,04:30,Baker Junction
213,Kallada Travels (Suresh Kallada),INR 1100,3.2,24 Seats available,A/C Sleeper (2+1),18:15,07h 10m,01:25,Kallada Travels
214,Holy Maria Travels,INR 800,2.9,38 Seats available,A/C Semi Sleeper (2+2),18:20,07h 50m,02:10,Kottayam
215,Kyros Connect,INR 250,3.1,,Bharat Benz A/C Semi Sleeper (2+2),07:30,01h 30m,09:00,
216,Cochin Express,INR 700,4.0,,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:25,01h 34m,23:59,
217,Cochin Express,INR 850,4.0,,A/C Sleeper (2+1),22:30,01h 29m,23:59,
218,Kyros Connect,INR 250,4.0,,Bharat Benz A/C Semi Sleeper (2+2),06:32,02h 28m,09:00,
219,Deer Bus LLP,INR 700,4.0,,VE A/C Semi Sleeper (2+2),14:45,02h 15m,17:00,
220,Cochin Express,INR 850,4.0,,A/C Sleeper (2+1),22:30,01h 29m,23:59,
221,Cochin Express,INR 700,3.8,,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:25,01h 34m,23:59,
222,A1 Travels,INR 799,3.0,,Bharat Benz A/C Sleeper (2+1),21:00,02h 30m,23:30,
