,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
230,Kalpana Travels,INR 335,,,Non AC Seater (2+2),08:15,04h 15m,12:30,
231,Karisma (Aziba),INR 280,,,NON A/C Sleeper (2+1),13:30,04h 15m,17:45,
232,Maa Jagadamba,INR 250,1.0,40 Seats available,NON A/C Seater (2+3),09:20,04h 10m,13:30,Bus stand
233,Maa Jagadamba,INR 260,1.0,,A/C Seater Push Back (2+2),09:40,03h 20m,13:00,
234,Air Bus Travels,INR 400,3.1,,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,
235,Assam State Transport Corporation (ASTC) - 155999,INR 334,4.4,31 Seats available,Bharat Benz A/C Seater (2+2),10:50,04h 10m,15:00,Dolabari Centre
236,Mahadev K.P.,INR 460,2.0,32 Seats available,Tata A/C Seater (2+2),11:00,07h 15m,18:15,Dulabari centre
237,Mahadev K.P.,INR 460,2.0,,Tata A/C Seater (2+2),11:30,07h 00m,18:30,
238,Chartered Bus - ASTC,INR 648.23,4.7,,A/C Seater Push Back (2+2),11:00,04h 00m,15:00,
239,KIRAN TRAVELS,425,3.6,,Non AC Seater (2+1),11:30,05h 35m,17:05,
240,Pranjit Travels (Under ASTC),463,3.6,,NON A/C Seater (2+1),13:10,05h 20m,18:30,
241,BLUE HILL TRAVELS INDIA LIMITED,350,3.3,,NON A/C Seater Semi Sleeper (2+1),23:30,05h 00m,04:30,
242,Ruma Travels (Under ASTC),INR 350,1.0,,Non AC Seater (2+2),09:00,05h 40m,14:40,
243,Karisma Travels,INR 400,2.4,,NON A/C Seater Push Back (2+2),10:40,04h 20m,15:00,
244,DESTINY TRAVELS,INR 429,,,NON A/C Seater (2+1),23:30,04h 15m,03:45,
245,Air Bus Travels,INR 500,2.9,44 Seats available,NON AC Seater / Sleeper 2+1,18:30,07h 30m,02:00,Biswanath bCharali Bus Stop
246,Assam State Transport Corporation (ASTC) - 146614,INR 412,3.1,32 Seats available,Bharat Benz A/C Seater (2+2),08:00,05h 30m,13:30,ISBT Guwahati
247,BLUE HILL TRAVELS INDIA LIMITED,INR 410,3.6,25 Seats available,NON A/C Seater Semi Sleeper (2+1),09:30,05h 30m,15:00,ISBT Guwahati
248,Mahi Travels(Under ASTC),433,3.9,44 Seats available,A/C Seater (2+2),10:00,06h 30m,16:30,ISBT Guwahati
249,Orient Transline,INR 476.19,4.3,41 Seats available,A/C Seater (2+1),11:30,06h 30m,18:00,ISBT Guwahati
250,Orient Transline,INR 476.19,4.0,34 Seats available,A/C Seater (2+1),13:00,07h 15m,20:15,ISBT Guwahati
251,Mahi Travels(Under ASTC),414,2.9,31 Seats available,Bharat Benz A/C Seater (2+2),10:30,06h 30m,17:00,ISBT Guwahati
252,Yatra Travels,450,4.5,37 Seats available,NON A/C Seater (2+1),07:45,04h 55m,12:40,ISBT Guwahati
253,Pranjit Travels (Under ASTC),463,3.8,26 Seats available,NON A/C Seater (2+1),07:45,07h 15m,15:00,ISBT Guwahati
254,MAHARATHI TRANSPORT,400,3.9,36 Seats available,NON A/C Semi Sleeper (2+1),09:00,05h 45m,14:45,ISBT Guwahati
255,Yatra Travels,450,3.9,24 Seats available,NON A/C Seater (2+1),18:00,07h 30m,01:30,ISBT Guwahati
256,PARIJAT TRAVELS(UNDER ASTC),INR 500,3.0,32 Seats available,NON A/C Seater (2+1),19:35,06h 25m,02:00,ISBT
257,Yatra Travels,450,3.4,30 Seats available,NON AC Seater/ Sleeper (2+1),20:00,05h 00m,01:00,ISBT Guwahati
258,Pranjit Travels (Under ASTC),509,4.0,25 Seats available,A/C Seater / Sleeper (2+1),20:45,06h 45m,03:30,ISBT Guwahati
259,MAHARATHI TRANSPORT,400,4.6,,NON A/C Seater (2+1),20:55,05h 50m,02:45,
260,Pranjit Travels (Under ASTC),463,3.8,,NON A/C Seater (2+1),21:15,06h 15m,03:30,
261,Pranjit Travels (Under ASTC),INR 550,3.7,,A/C Seater (2+1),21:30,06h 15m,03:45,
262,Pranjit Travels (Under ASTC),463,4.1,,NON A/C Seater (2+1),21:30,06h 30m,04:00,
263,Pranjit Travels (Under ASTC),463,1.9,,Non AC Seater (2+1),21:45,05h 15m,03:00,
264,Pranjit Travels (Under ASTC),463,2.2,,NON A/C Seater (2+1),21:45,05h 45m,03:30,
265,DESTINY TRAVELS,INR 449,,,NON A/C Seater (2+1),18:45,29h 39m,00:24,
266,BLUE HILL TRAVELS INDIA LIMITED,INR 550,,,NON A/C Seater Semi Sleeper (2+1),20:00,06h 00m,02:00,
267,NORTH EAST TRAVELS(UNDER ASTC),INR 500,,,NON A/C Seater (2+1),20:15,06h 15m,02:30,
268,Aroti Travels (Under ASTC),INR 350,4.7,,Non AC Seater (2+2),12:30,05h 20m,17:50,
269,Chartered Bus - ASTC,INR 756.25,4.3,,Volvo AC Seater Pushback 2+2,13:30,05h 00m,18:30,
270,Christina Travels,650,2.0,,NON A/C Seater (2+2),12:00,04h 15m,16:15,
271,MADHURIKA TRAVELS,555,2.4,,A/C Seater (2+1),12:45,05h 15m,18:00,
272,Basudev Transline,284,4.2,,A/C Seater (2+2),10:00,03h 00m,13:00,
273,Aroti Travels (Under ASTC),INR 250,4.2,,Non AC Seater (2+2),12:30,03h 50m,16:20,
274,NEELAKANTHA (RIYA),INR 250,3.8,,Tempo Traveler NON A/C,10:00,--,10:00,
275,RAYAN TRAVELS,INR 600,3.9,,Bharat Benz A/C Seater (2+1),12:30,03h 45m,16:15,
276,MADHURIKA TRAVELS,509,4.2,,A/C Seater (2+1),12:45,04h 15m,17:00,
277,SHIVAM TRAVELS,509,4.1,,Bharat Benz A/C Seater (2+1),13:30,03h 30m,17:00,
278,Chartered Bus - ASTC,INR 647.8,4.8,,Volvo AC Seater Pushback 2+2,13:30,03h 45m,17:15,
279,Bashudev Transline (Under ASTC),INR 550,2.8,,A/C Seater (2+1),14:10,03h 50m,18:00,
280,Christina Travels,650,,,NON A/C Seater (2+2),12:00,03h 15m,15:15,
281,Assam State Transport Corporation (ASTC) - 158350,INR 410,4.3,,Bharat Benz A/C Seater (2+2),12:00,07h 00m,19:00,
282,Yatra,INR 350,2.7,,Non AC Seater (2+2),08:15,07h 15m,15:30,
